"FECHA;DESDE;HASTA;LINEA;MOLINETE;ESTACION;pax_pagos;pax_pases_pagos;pax_franq;pax_TOTAL"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Virreyes_E_Turn03;Pza. de los Virreyes;15;0;0;15"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Indepen_Turn04;Independencia.H;2;0;0;2"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Pichin_Turn02;Pichincha;2;0;1;3"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Jujuy_Turn02;Jujuy;2;0;1;3"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Virreyes_E_Turn02;Pza. de los Virreyes;5;0;0;5"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Boedo_Turn02;Boedo;3;0;0;3"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Indepen_Turn02;Independencia.H;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Venezuela_Sur_Turn02;Venezuela;8;0;0;8"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_SantaFe_Sur_Turn03;Santa Fe;0;0;1;1"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_HPrimo_Norte_Turn02;Humberto I;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Hospitales_Sur_Turn03;Hospitales;3;0;0;3"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Caseros_Sur_Turn02;Caseros;7;0;2;9"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Venezuela_Norte_Turn01;Venezuela;2;0;0;2"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_LasHeras_Turn01;Las Heras;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Cordoba_Turn01;Cordoba;5;0;0;5"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Once_Sur_Turn03;Once;2;0;0;2"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Venezuela_Norte_Turn02;Venezuela;2;0;0;2"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Venezuela_Sur_Turn01;Venezuela;2;0;0;2"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Inclan_Norte_Turn02;Inclan;3;0;2;5"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Caseros_Sur_Turn01;Caseros;4;0;0;4"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Inclan_Sur_Turn01;Inclan;3;0;0;3"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_SantaFe_Sur_Turn02;Santa Fe;3;0;0;3"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Hospitales_Norte_Turn03;Hospitales;4;0;0;4"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_HPrimo_Sur_Turn01;Humberto I;4;0;0;4"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Once_Sur_Turn02;Once;2;0;1;3"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Inclan_Norte_Turn01;Inclan;3;0;0;3"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_FDerecho_Sur_Turn03;Facultad de Derecho;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_SantaFe_Sur_Turn01;Santa Fe;2;0;0;2"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Once_Sur_Turn01;Once;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Once_Norte_Turn02;Once;2;0;2;4"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Patricios_Turn01;Patricios;11;0;0;11"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Caseros_Norte_Turn01;Caseros;4;0;0;4"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Patricios_Turn05;Patricios;12;0;0;12"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Cordoba_Turn02;Cordoba;2;0;0;2"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Patricios_Turn04;Patricios;2;0;0;2"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Hospitales_Sur_Turn02;Hospitales;9;0;1;10"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Cordoba_Turn03;Cordoba;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Hospitales_Norte_Turn02;Hospitales;15;0;0;15"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_LasHeras_Turn04;Las Heras;5;0;0;5"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_HPrimo_Norte_Turn01;Humberto I;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaH;LineaH_Hospitales_Norte_Turn01;Hospitales;7;0;0;7"
