id,estacion,linea,grado,betweenness,closeness,autovector,excentricidad,r_grado,r_grado_periferia,r_betweenness,r_betweenness_periferia,r_closeness,r_closeness_periferia,r_autovector,r_autovector_periferia,r_excentricidad,r_excentricidad_periferia,score_central,score_periferico,lat,long,clave_estacion,nombre_norm,demanda_potencial,radios_cubiertos,pasajeros_diarios_promedio,pasajeros_totales_periodo,dias_observados,educacion,salud,comercio,atraccion_total,betweenness_uniforme,betweenness_demanda,betweenness_atraccion,cambio_demanda_vs_uniforme,cambio_atraccion_vs_demanda,betweenness_sube,cambio_sube_vs_atraccion
86,Inclán,H,2.0,0.0658835546475996,0.04985994397759104,0.03775498099690776,39,20.0,9.0,58.0,29.0,28.0,63.0,52.0,39.0,18.0,70.0,35.2,42.0,-34.62937565,-58.40096955,Inclán (H),inclan,51235,63,3366.054945054945,1225244,364,6,3,13,22,0.0644194756554307,0.03153570691796302,0.023929193737202436,-0.03288376873746768,-0.007606513180760586,0.06040754621901674,0.0364783524818143
6,Congreso,A,2.0,0.09095165134490973,0.04847494553376906,0.10325719733472188,43,20.0,9.0,47.0,44.0,40.0,51.0,26.0,65.0,45.0,38.0,35.6,41.4,-34.60922568,-58.39266882,Congreso (A),congreso,75025,115,7020.241758241758,2555368,364,24,19,25,68,0.08893050353724502,0.058559899858267775,0.054865285251673716,-0.030370603678977245,-0.0036946146065940585,0.11940201358487398,0.06453672833320026
51,Bulnes,D,2.0,0.16547497446373852,0.043606075453209214,0.029980532031025308,42,20.0,9.0,13.0,76.0,56.0,35.0,55.0,36.0,38.0,47.0,36.4,40.6,-34.58823711,-58.4112939,Bulnes (D),bulnes,115091,141,7927.234920634921,2497079,315,11,19,101,131,0.1617977528089889,0.10407624318487346,0.13255971038110026,-0.05772150962411543,0.028483467196226797,0.18459471092773982,0.052035000546639565
67,General Urquiza,E,2.0,0.14657814096016344,0.047466666666666664,0.04687592520957571,44,20.0,9.0,17.0,71.0,44.0,47.0,47.0,44.0,54.0,32.0,36.4,40.6,-34.62465379,-58.40939078,General Urquiza (E),general urquiza,56903,68,2207.848901098901,803657,364,21,4,13,38,0.14332084893882643,0.07256758367346217,0.0507100498786064,-0.07075326526536427,-0.021857533794855763,0.05092857967728051,0.00021852979867410804
20,Florida,B,2.0,0.04085801838610827,0.04769560557341908,0.11701771556428701,41,20.0,9.0,70.0,21.0,43.0,48.0,21.0,70.0,30.0,54.0,36.8,40.4,-34.60329729,-58.37507152,Florida (B),florida,25090,48,7369.565934065934,2682522,364,24,9,57,90,0.039950062421972535,0.01491254515301867,0.018262075328549517,-0.025037517268953865,0.0033495301755308467,0.051954794074727306,0.03369271874617779
76,Catalinas,E,2.0,0.02259959141981614,0.04587628865979381,0.12089976515258756,41,20.0,9.0,72.0,19.0,47.0,44.0,19.0,72.0,30.0,54.0,37.6,39.6,-34.59659682,-58.37170033,Catalinas (E),catalinas,23457,44,2762.368131868132,1005502,364,5,7,22,34,0.022097378277153565,0.010452792136428263,0.0084598215697025,-0.011644586140725301,-0.0019929705667257637,0.024419178398580627,0.015959356828878127
3,Piedras,A,2.0,0.06537282941777324,0.0485278080697928,0.20825089905209662,45,20.0,9.0,63.0,28.0,38.0,53.0,8.0,83.0,60.0,28.0,37.8,40.2,-34.60888172,-58.37908515,Piedras (A),piedras,33565,57,3206.151098901099,1167039,364,18,11,24,53,0.06392009987515605,0.03745076832354191,0.03935934273954428,-0.026469331551614142,0.0019085744160023677,0.07215573262784375,0.03279638988829947
11,Castro Barros,A,2.0,0.14657814096016344,0.04522357723577236,0.026077590817339746,43,20.0,9.0,17.0,71.0,51.0,40.0,57.0,34.0,45.0,38.0,38.0,38.4,-34.61177023,-58.42181567,Castro Barros (A),castro barros,81656,98,5115.013736263736,1861865,364,31,4,17,52,0.14332084893882652,0.10476931541824062,0.08422384841228972,-0.03855153352058589,-0.020545467005950904,0.142057468006257,0.05783361959396727
79,Las Heras,H,2.0,0.02247191011235955,0.048687089715536105,0.027141947897007822,33,20.0,9.0,73.0,12.0,37.0,54.0,56.0,35.0,4.0,86.0,38.0,39.2,-34.58746155,-58.39721558,Las Heras (H),las heras,81211,100,5733.195054945055,2086883,364,13,11,47,71,0.021972534332084896,0.014926409328080509,0.008829754349168524,-0.007046125004004387,-0.006096654978911984,0.002098621565724964,-0.006731132783443561
28,Ángel Gallardo,B,2.0,0.14657814096016344,0.04295366795366795,0.02080635627998158,42,20.0,9.0,17.0,71.0,57.0,34.0,60.0,31.0,38.0,47.0,38.4,38.4,-34.60216223,-58.43127386,Ángel Gallardo (B),angel gallardo,76859,99,7665.7829670329675,2790345,364,14,11,14,39,0.14332084893882652,0.060534399122496356,0.06259781123008774,-0.08278644981633015,0.0020634121075913878,0.1684818325931992,0.10588402136311147
