id,estacion,linea,grado,betweenness,closeness,autovector,excentricidad,r_grado,r_grado_periferia,r_betweenness,r_betweenness_periferia,r_closeness,r_closeness_periferia,r_autovector,r_autovector_periferia,r_excentricidad,r_excentricidad_periferia,score_central,score_periferico,lat,long,clave_estacion,nombre_norm,demanda_potencial,radios_cubiertos,pasajeros_diarios_promedio,pasajeros_totales_periodo,dias_observados,educacion,salud,comercio,atraccion_total,betweenness_uniforme,betweenness_demanda,betweenness_atraccion,cambio_demanda_vs_uniforme,cambio_atraccion_vs_demanda
5,Sáenz Peña,A,2.0,0.09334726576105885,0.048916064480266815,0.14585981161492045,41,20.0,9.0,45.0,45.0,41.0,49.0,17.0,73.0,32.0,47.0,31.0,44.6,-34.60941259,-58.38677719,Sáenz Peña (A),saenz pena,59490,94,4316.142857142857,1571076,364,14,8,10,32,0.0912495743956419,0.059061655025092044,0.05984418239275058,-0.03218791937054985,0.0007825273676585337
37,Lavalle,C,2.0,0.04323406478578893,0.04832509610104338,0.1684983244322541,37,20.0,9.0,68.0,22.0,42.0,48.0,14.0,76.0,11.0,77.0,31.0,46.4,-34.60176992,-58.37815578,Lavalle (C),lavalle,33853,63,3802.2005494505493,1384001,364,17,17,75,109,0.04226251276813075,0.020496170926977527,0.02440779622567801,-0.02176634184115322,0.003911625298700483
64,Entre Ríos,E,2.0,0.11624869383490075,0.049914917753828704,0.10273889141057285,43,20.0,9.0,31.0,59.0,30.0,59.0,27.0,63.0,49.0,33.0,31.4,44.6,-34.62271967,-58.3915117,Entre Ríos (E),entre rios,71033,96,2532.2445054945056,921737,364,24,6,12,42,0.11363636363636366,0.05988958964639341,0.050059942175791024,-0.05374677398997025,-0.009829647470602387
27,Medrano,B,2.0,0.14811912225705332,0.04612159329140461,0.03077674543441659,40,20.0,9.0,16.0,71.0,47.0,43.0,54.0,36.0,25.0,59.0,32.4,43.6,-34.6031649,-58.42096247,Medrano (B),medrano,84548,106,8978.29945054945,3268101,364,16,3,17,36,0.14479060265577146,0.07336337697866085,0.07044413143535633,-0.0714272256771106,-0.0029192455433045272
65,Pichincha,E,2.0,0.11990595611285268,0.050400916380297825,0.07987240872229155,44,20.0,9.0,27.0,63.0,26.0,64.0,31.0,59.0,58.0,28.0,32.4,44.6,-34.62310987,-58.39706807,Pichincha (E),pichincha,64642,85,1551.6263736263736,564792,364,18,8,13,39,0.11721144024514836,0.06712156538731653,0.0534119970805756,-0.050089874857831826,-0.013709568306740937
3,Piedras,A,2.0,0.06687565308254964,0.049189491335941866,0.20825430974492312,43,20.0,9.0,57.0,33.0,37.0,53.0,8.0,82.0,49.0,33.0,34.2,42.0,-34.60888172,-58.37908515,Piedras (A),piedras,33565,57,3206.151098901099,1167039,364,18,11,24,53,0.06537282941777325,0.037811504117518026,0.039778018590921706,-0.027561325300255228,0.00196651447340368
86,Inclán,H,2.0,0.06661442006269593,0.0502283105022831,0.037754548073712445,39,20.0,9.0,58.0,28.0,27.0,63.0,52.0,38.0,20.0,66.0,35.4,40.8,-34.62937565,-58.40096955,Inclán (H),inclan,51235,63,3366.054945054945,1225244,364,6,3,13,22,0.0651174668028601,0.0317169721104391,0.024075098602171316,-0.033400494692421,-0.0076418735082677824
7,Pasco,A,2.0,0.09622082897944965,0.0497456189937818,0.07671924174370678,43,20.0,9.0,44.0,46.0,34.0,56.0,32.0,58.0,49.0,33.0,35.8,40.4,-34.60964596,-58.39842699,Pasco (A),pasco,81685,117,1628.1349862258953,591013,363,24,14,22,60,0.09405856315968686,0.06632736312559773,0.06064849935522135,-0.027731200034089132,-0.00567886377037638
6,Congreso,A,2.0,0.09256356670149772,0.04897050639955482,0.10325872651910808,43,20.0,9.0,46.0,44.0,39.0,50.0,26.0,64.0,49.0,33.0,36.0,40.0,-34.60922568,-58.39266882,Congreso (A),congreso,75025,115,7020.241758241758,2555368,364,24,19,25,68,0.09048348655090238,0.059043025233866404,0.055374899599843236,-0.03144046131703598,-0.0036681256340231685
67,General Urquiza,E,2.0,0.14811912225705332,0.04790419161676647,0.04687678927171125,44,20.0,9.0,16.0,71.0,44.0,46.0,47.0,43.0,58.0,28.0,37.0,39.4,-34.62465379,-58.40939078,General Urquiza (E),general urquiza,56903,68,2207.848901098901,803657,364,21,4,13,38,0.14479060265577134,0.07302226475354448,0.05104892108303388,-0.07176833790222686,-0.021973343670510598
20,Florida,B,2.0,0.04009926854754441,0.04793028322440087,0.11701748766402688,41,20.0,9.0,69.0,21.0,43.0,47.0,21.0,69.0,32.0,47.0,37.0,38.6,-34.60329729,-58.37507152,Florida (B),florida,25090,48,7369.565934065934,2682522,364,24,9,57,90,0.039198161389172634,0.014868371829881346,0.018218035520373793,-0.024329789559291288,0.003349663690492447
51,Bulnes,D,2.0,0.1671891327063741,0.04397801099450275,0.02998069989173813,42,20.0,9.0,12.0,76.0,56.0,34.0,55.0,35.0,44.0,42.0,37.4,39.2,-34.58823711,-58.4112939,Bulnes (D),bulnes,115091,141,7927.234920634921,2497079,315,11,19,101,131,0.1634320735444334,0.10474117738779753,0.13351474374117012,-0.05869089615663586,0.02877356635337258
76,Catalinas,E,2.0,0.022857889237199586,0.04631578947368421,0.12090171059606213,41,20.0,9.0,71.0,19.0,46.0,44.0,19.0,71.0,32.0,47.0,37.6,38.0,-34.59659682,-58.37170033,Catalinas (E),catalinas,23457,44,2762.368131868132,1005502,364,5,7,22,34,0.022344228804902964,0.010522148416398388,0.008522594454592308,-0.011822080388504576,-0.0019995539618060804
79,Las Heras,H,2.0,0.022727272727272728,0.04897050639955482,0.027140479697847664,33,20.0,9.0,72.0,12.0,39.0,50.0,56.0,34.0,4.0,85.0,38.2,38.0,-34.58746155,-58.39721558,Las Heras (H),las heras,81211,100,5733.195054945055,2086883,364,13,11,47,71,0.022216547497446386,0.01500630276415337,0.008881363305501688,-0.007210244733293016,-0.006124939458651682
11,Castro Barros,A,2.0,0.14811912225705332,0.04557224236147074,0.026077618298908638,43,20.0,9.0,16.0,71.0,51.0,39.0,57.0,33.0,49.0,33.0,38.6,37.0,-34.61177023,-58.42181567,Castro Barros (A),castro barros,81656,98,5115.013736263736,1861865,364,31,4,17,52,0.14479060265577146,0.1053806881344357,0.08475853512780065,-0.03940991452133576,-0.020622153006635044
36,General San Martín,C,2.0,0.022596656217345874,0.04446690247599798,0.1038908269337995,39,20.0,9.0,79.0,11.0,54.0,36.0,25.0,65.0,20.0,66.0,39.6,37.4,-34.5950574,-58.37781905,General San Martín (C),general san martin,40846,60,2874.947802197802,1046481,364,12,8,60,80,0.022088866189989797,0.008146412498024138,0.006791389802975717,-0.013942453691965659,-0.0013550226950484207
28,Ángel Gallardo,B,2.0,0.12852664576802508,0.042759961127308066,0.020758523835228818,42,20.0,9.0,20.0,67.0,58.0,32.0,60.0,30.0,44.0,42.0,40.4,36.0,-34.60216223,-58.43127386,Ángel Gallardo (B),angel gallardo,76859,99,7665.7829670329675,2790345,364,14,11,14,39,0.12563840653728314,0.05437134674407766,0.0559086102894919,-0.07126705979320548,0.0015372635454142386
